CODMUN7,ano,Nome,CV_SCR2
1100015,2016,Alta Floresta D'Oeste,9208
1100023,2016,Ariquemes,8952
1100031,2016,Cabixi,7711
1100049,2016,Cacoal,8232
1100056,2016,Cerejeiras,8551
1100064,2016,Colorado do Oeste,10080
1100072,2016,Corumbiara,11081
1100080,2016,Costa Marques,11303
1100098,2016,EspigÆo D'Oeste,9259
1100106,2016,Guajar 0Mirim,7031
1100114,2016,Jaru,8170
1100122,2016,Ji0Paran ,8913
1100130,2016,Machadinho D'Oeste,11151
1100148,2016,Nova Brasilƒndia D'Oeste,8701
1100155,2016,Ouro Preto do Oeste,6382
1100189,2016,Pimenta Bueno,9795
1100205,2016,Porto Velho,9576
1100254,2016,Presidente M‚dici,12879
1100262,2016,Rio Crespo,10000
1100288,2016,Rolim de Moura,9748
1100296,2016,Santa Luzia D'Oeste,9083
1100304,2016,Vilhena,9776
1100320,2016,SÆo Miguel do Guapor‚,10912
1100338,2016,Nova Mamor‚,11875
1100346,2016,Alvorada D'Oeste,14133
1100379,2016,Alto Alegre dos Parecis,12703
1100403,2016,Alto Para¡so,3678
1100452,2016,Buritis,11653
1100502,2016,Novo Horizonte do Oeste,8073
1100601,2016,Cacaulƒndia,6944
1100700,2016,Campo Novo de Rond“nia,4545
1100809,2016,Candeias do Jamari,10730
1100908,2016,Castanheiras,9608
1100924,2016,Chupinguaia,13893
1100940,2016,Cujubim,10111
1101005,2016,Governador Jorge Teixeira,11908
1101104,2016,ItapuÆ do Oeste,13214
1101203,2016,Ministro Andreazza,13478
1101302,2016,Mirante da Serra,8362
1101401,2016,Monte Negro,7331
1101435,2016,Nova UniÆo,8310
1101450,2016,Parecis,12778
1101468,2016,Pimenteiras do Oeste,8846
1101476,2016,Primavera de Rond“nia,13500
1101484,2016,SÆo Felipe D'Oeste,10694
1101492,2016,SÆo Francisco do Guapor‚,10975
1101500,2016,Seringueiras,10163
1101559,2016,Teixeir¢polis,12000
1101609,2016,Theobroma,19905
1101708,2016,Urup ,9179
1101757,2016,Vale do Anari,1845
1101807,2016,Vale do Para¡so,14355
1200013,2016,Acrelƒndia,8326
1200054,2016,Assis Brasil,1558
1200104,2016,Brasil‚ia,7834
1200138,2016,Bujari,7358
1200179,2016,Capixaba,6774
1200203,2016,Cruzeiro do Sul,5915
1200252,2016,Epitaciolƒndia,5415
1200302,2016,Feij¢,3767
1200328,2016,JordÆo,10074
1200336,2016,Mƒncio Lima,2254
1200344,2016,Manoel Urbano,5698
1200351,2016,Marechal Thaumaturgo,2740
1200385,2016,Pl cido de Castro,7632
1200393,2016,Porto Walter,3837
1200401,2016,Rio Branco,7354
1200427,2016,Rodrigues Alves,11641
1200435,2016,Santa Rosa do Purus,16906
1200450,2016,Senador Guiomard,3593
1200500,2016,Sena Madureira,6138
1200609,2016,Tarauac ,5965
1200708,2016,Xapuri,6792
1200807,2016,Porto Acre,6232
1300029,2016,AlvarÆes,8309
1300060,2016,Amatur ,14683
1300086,2016,AnamÆ,7267
1300102,2016,Anori,9722
1300144,2016,Apu¡,11550
1300201,2016,Atalaia do Norte,7943
1300300,2016,Autazes,5622
1300409,2016,Barcelos,5916
1300508,2016,Barreirinha,6824
1300607,2016,Benjamin Constant,3751
1300631,2016,Beruri,6296
1300680,2016,Boa Vista do Ramos,9918
1300706,2016,Boca do Acre,6345
1300805,2016,Borba,9847
1300839,2016,Caapiranga,5353
1300904,2016,Canutama,11449
1301001,2016,Carauari,4355
1301100,2016,Careiro,8610
1301159,2016,Careiro da V rzea,9104
1301209,2016,Coari,6585
1301308,2016,Codaj s,8902
1301407,2016,Eirunep‚,4075
1301506,2016,Envira,6617
1301605,2016,Fonte Boa,5274
1301654,2016,Guajar ,4444
1301704,2016,Humait ,8539
1301803,2016,Ipixuna,6075
1301852,2016,Iranduba,8902
1301902,2016,Itacoatiara,5551
1301951,2016,Itamarati,4345
1302009,2016,Itapiranga,9728
1302108,2016,Japur ,9341
1302207,2016,Juru ,2430
1302306,2016,Juta¡,3706
1302405,2016,L brea,9071
1302504,2016,Manacapuru,1933
1302553,2016,Manaquiri,11043
1302603,2016,Manaus,8746
1302702,2016,Manicor‚,8972
1302801,2016,MaraÆ,5158
1302900,2016,Maus,5513
1303007,2016,Nhamund ,5821
1303106,2016,Nova Olinda do Norte,5692
1303205,2016,Novo AirÆo,4662
1303304,2016,Novo AripuanÆ,5337
1303403,2016,Parintins,5018
1303502,2016,Pauini,3388
1303536,2016,Presidente Figueiredo,8768
1303569,2016,Rio Preto da Eva,9096
1303601,2016,Santa Isabel do Rio Negro,7953
1303700,2016,Santo Ant“nio do I‡ ,7685
1303809,2016,SÆo Gabriel da Cachoeira,5652
1303908,2016,SÆo Paulo de Oliven‡a,14658
1303957,2016,SÆo SebastiÆo do UatumÆ,3944
1304005,2016,Silves,10000
1304062,2016,Tabatinga,9078
1304104,2016,Tapau ,4545
1304203,2016,Tef,5078
1304237,2016,Tonantins,8883
1304260,2016,Uarini,7595
1304302,2016,Urucar ,11203
1304401,2016,Urucurituba,8597
1400027,2016,Amajari,11398
1400050,2016,Alto Alegre,9390
1400100,2016,Boa Vista,8145
1400159,2016,Bonfim,7061
1400175,2016,Cant ,5566
1400209,2016,Caracara¡,7834
1400233,2016,Caroebe,12296
1400282,2016,Iracema,7425
1400308,2016,Mucaja¡,9428
1400407,2016,Normandia,7078
1400456,2016,Pacaraima,9803
1400472,2016,Rorain¢polis,8935
1400506,2016,SÆo JoÆo da Baliza,2143
1400605,2016,SÆo Luiz,8556
1400704,2016,UiramutÆ,8458
1500107,2016,Abaetetuba,7436
1500131,2016,Abel Figueiredo,6143
1500206,2016,Acar ,5502
1500305,2016,Afu ,2585
1500347,2016,µgua Azul do Norte,5505
1500404,2016,Alenquer,7460
1500503,2016,Almeirim,7862
1500602,2016,Altamira,5955
1500701,2016,Anaj s,5875
1500800,2016,Ananindeua,2980
1500859,2016,Anapu,9543
1500909,2016,Augusto Corrˆa,4587
1500958,2016,Aurora do Par ,5438
1501006,2016,Aveiro,7692
1501105,2016,Bagre,5602
1501204,2016,BaiÆo,7257
1501253,2016,Bannach,15581
1501303,2016,Barcarena,8428
1501402,2016,Belm,7399
1501451,2016,Belterra,10560
1501501,2016,Benevides,6663
1501576,2016,Bom Jesus do Tocantins,6240
1501600,2016,Bonito,9194
1501709,2016,Bragan‡a,5389
1501725,2016,Brasil Novo,10833
1501758,2016,Brejo Grande do Araguaia,7745
1501782,2016,Breu Branco,5844
1501808,2016,Breves,2882
1501907,2016,Bujaru,7834
1501956,2016,Cachoeira do Piri ,6611
1502004,2016,Cachoeira do Arari,6302
1502103,2016,Camet ,5960
1502152,2016,CanaÆ dos Caraj s,6776
1502202,2016,Capanema,5925
1502301,2016,CapitÆo Po‡o,6934
1502400,2016,Castanhal,7433
1502509,2016,Chaves,4986
1502608,2016,Colares,9222
1502707,2016,Concei‡Æo do Araguaia,6537
1502756,2016,Conc¢rdia do Par ,6788
1502764,2016,Cumaru do Norte,11194
1502772,2016,Curion¢polis,6835
1502806,2016,Curralinho,1377
1502855,2016,Curu ,12146
1502905,2016,Curu‡ ,3385
1502939,2016,Dom Eliseu,8920
1502954,2016,Eldorado do Caraj s,4271
1503002,2016,Faro,7333
1503044,2016,Floresta do Araguaia,4740
1503077,2016,GarrafÆo do Norte,8412
1503093,2016,Goian‚sia do Par ,6647
1503101,2016,Gurup ,8211
1503200,2016,Igarap0A‡u,9133
1503309,2016,Igarap0Miri,5059
1503408,2016,Inhangapi,5614
1503457,2016,Ipixuna do Par ,2363
1503507,2016,Irituia,7467
1503606,2016,Itaituba,8211
1503705,2016,Itupiranga,9614
1503754,2016,Jacareacanga,5522
1503804,2016,Jacund ,8657
1503903,2016,Juruti,8098
1504000,2016,Limoeiro do Ajuru,5404
1504059,2016,MÆe do Rio,6282
1504109,2016,MagalhÆes Barata,7798
1504208,2016,Marab ,4958
1504307,2016,MaracanÆ,8180
1504406,2016,Marapanim,4427
1504422,2016,Marituba,4199
1504455,2016,Medicilƒndia,9372
1504505,2016,Melga‡o,4829
1504604,2016,Mocajuba,6688
1504703,2016,Moju,5785
1504802,2016,Monte Alegre,7269
1504901,2016,Muan ,6155
1504950,2016,Nova Esperan‡a do Piri ,7108
1504976,2016,Nova Ipixuna,7259
1505007,2016,Nova Timboteua,9804
1505031,2016,Novo Progresso,9657
1505064,2016,Novo Repartimento,6331
1505106,2016,àbidos,7725
1505205,2016,Oeiras do Par ,6011
1505304,2016,Oriximin ,5319
1505403,2016,Ourm,7771
1505437,2016,Ourilƒndia do Norte,5753
1505486,2016,Pacaj ,8588
1505494,2016,Palestina do Par ,6505
1505502,2016,Paragominas,6582
1505536,2016,Parauapebas,6988
1505551,2016,Pau D'Arco,5357
1505601,2016,Peixe0Boi,9082
1505635,2016,Pi‡arra,13630
1505650,2016,Placas,6704
1505700,2016,Ponta de Pedras,11154
1505809,2016,Portel,4201
1505908,2016,Porto de Moz,4162
1506005,2016,Prainha,7055
1506104,2016,Primavera,8743
1506112,2016,Quatipuru,9045
1506138,2016,Reden‡Æo,6345
1506161,2016,Rio Maria,7695
1506187,2016,Rondon do Par ,7360
1506195,2016,Rur¢polis,8373
1506203,2016,Salin¢polis,8475
1506302,2016,Salvaterra,7984
1506351,2016,Santa B rbara do Par ,1454
1506401,2016,Santa Cruz do Arari,13922
1506500,2016,Santa Izabel do Par ,4772
1506559,2016,Santa Luzia do Par ,5220
1506583,2016,Santa Maria das Barreiras,10918
1506609,2016,Santa Maria do Par ,5110
1506708,2016,Santana do Araguaia,8544
1506807,2016,Santarm,3931
1506906,2016,Santarm Novo,9518
1507003,2016,Santo Ant“nio do Tau ,7197
1507102,2016,SÆo Caetano de Odivelas,6754
1507151,2016,SÆo Domingos do Araguaia,10186
1507201,2016,SÆo Domingos do Capim,6103
1507300,2016,SÆo Flix do Xingu,6703
1507409,2016,SÆo Francisco do Par ,9128
1507458,2016,SÆo Geraldo do Araguaia,6115
1507466,2016,SÆo JoÆo da Ponta,8795
1507474,2016,SÆo JoÆo de Pirabas,7440
1507508,2016,SÆo JoÆo do Araguaia,5336
1507607,2016,SÆo Miguel do Guam ,6282
1507706,2016,SÆo SebastiÆo da Boa Vista,9020
1507755,2016,Sapucaia,5806
1507805,2016,Senador Jos‚ Porf¡rio,5000
1507904,2016,Soure,1524
1507953,2016,Tailƒndia,8407
1507961,2016,Terra Alta,7295
1507979,2016,Terra Santa,9151
1508001,2016,Tom0A‡u,8260
1508035,2016,Tracuateua,4516
1508050,2016,TrairÆo,10145
1508084,2016,TucumÆ,8801
1508100,2016,Tucuru¡,5826
1508126,2016,Ulian¢polis,4591
1508159,2016,Uruar ,6213
1508209,2016,Vigia,5526
1508308,2016,Viseu,5036
1508357,2016,Vit¢ria do Xingu,7407
1508407,2016,Xinguara,7191
1600055,2016,Serra do Navio,4127
1600105,2016,Amap ,10435
1600154,2016,Pedra Branca do Amapari,7059
1600204,2016,Cal‡oene,7411
1600212,2016,Cutias,13294
1600238,2016,Ferreira Gomes,9312
1600253,2016,Itaubal,4771
1600279,2016,Laranjal do Jari,9181
1600303,2016,Macap ,9589
1600402,2016,MazagÆo,4661
1600501,2016,Oiapoque,5658
1600535,2016,Porto Grande,7561
1600550,2016,Pracu£ba,7229
1600600,2016,Santana,9064
1600709,2016,Tartarugalzinho,10067
1600808,2016,Vit¢ria do Jari,5766
1700251,2016,Abreulƒndia,12667
1700301,2016,Aguiarn¢polis,11447
1700350,2016,Alian‡a do Tocantins,9714
1700400,2016,Almas,7379
1700707,2016,Alvorada,9322
1701002,2016,Anan s,9884
1701051,2016,Angico,8222
1701101,2016,Aparecida do Rio Negro,9375
1701309,2016,Aragominas,12353
1701903,2016,Araguacema,7805
1702000,2016,Aragua‡u,8980
1702109,2016,Aragua¡na,7845
1702158,2016,AraguanÆ,10330
1702208,2016,Araguatins,6007
1702307,2016,Arapoema,10745
1702406,2016,Arraias,8161
1702554,2016,Augustin¢polis,8858
1702703,2016,Aurora do Tocantins,13667
1702901,2016,Axix  do Tocantins,7421
1703008,2016,Baba‡ulƒndia,10206
1703057,2016,Bandeirantes do Tocantins,7727
1703073,2016,Barra do Ouro,6782
1703107,2016,Barrolƒndia,13030
1703206,2016,Bernardo SayÆo,13846
1703305,2016,Bom Jesus do Tocantins,13611
1703602,2016,Brasilƒndia do Tocantins,11724
1703701,2016,Brejinho de Nazar,8556
1703800,2016,Buriti do Tocantins,8171
1703826,2016,Cachoeirinha,13077
1703842,2016,Campos Lindos,8994
1703867,2016,Cariri do Tocantins,11224
1703883,2016,Carmolƒndia,15333
1703891,2016,Carrasco Bonito,13478
1703909,2016,Caseara,13000
1704105,2016,Centen rio,14583
1704600,2016,Chapada de Areia,4286
1705102,2016,Chapada da Natividade,10952
1705508,2016,Colinas do Tocantins,8272
1705557,2016,Combinado,11948
1705607,2016,Concei‡Æo do Tocantins,14783
1706001,2016,Couto MagalhÆes,8077
1706100,2016,Cristalƒndia,11286
1706258,2016,Crix s do Tocantins,6250
1706506,2016,Darcin¢polis,5833
1707009,2016,Dian¢polis,9878
1707108,2016,Divin¢polis do Tocantins,11458
